Month,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,Region,Case
Month 1,0.03729345427425838,0.03819874103578841,0.03665595988680182,0.040524248404125475,0.03746379560441757,0.033259119381840445,0.040847285021364144,0.04058259941407482,0.04213614069063867,0.04161161287035155,0.04146792706778878,0.03770015256114226,0.04352127331335263,0.04054043214724409,0.040590787060491795,0.036431123203251696,0.0416695975766375,0.03502206856567013,0.037612585312206154,0.040382172314249905,0.03483339645126574,0.0401174302297303,0.043233807586614326,0.044352790812876464,PJM,Base Case
Month 2,0.03830867121734884,0.03654139283989479,0.0386472466635536,0.034075217388742036,0.03952384767928083,0.04801343264301143,0.04156323537958179,0.040701051696230145,0.041433010996267255,0.03962303730923161,0.03412854235919302,0.04086715929157042,0.03937806793253216,0.04005190225584898,0.04405832482856053,0.042392644954577854,0.038355163007238395,0.039717140624942845,0.034352278989957484,0.036208129588199384,0.04312206189113073,0.03770159407757735,0.03809472833793391,0.04330954384654577,PJM,Base Case
Month 3,0.04047364528015769,0.04186197111650624,0.042784631341580004,0.03866274311934578,0.035291311106556006,0.04122974975347066,0.046034898919647065,0.03721338754590958,0.04637330656936431,0.039297397202958106,0.03975238847030451,0.041179789459619025,0.03655855919499824,0.03936769553376296,0.040675948118194374,0.03537294296430578,0.037449247277030515,0.045303598619115745,0.040862385628456586,0.040952823616537674,0.033692405035518645,0.04232766193297541,0.042059693472046245,0.03879308220207881,PJM,Base Case
Month 4,0.04530491264281107,0.028060182060718666,0.04086551064446975,0.0436704886191034,0.03562738115829688,0.04002747355412338,0.03718245778416864,0.03768871429190774,0.038601975548105474,0.04203468021388983,0.04262692039587748,0.04413122600190308,0.04367716694934371,0.04105681904394003,0.04029927931280864,0.043841648096762255,0.036500583732578,0.03727248815439712,0.041879132118150156,0.040810101743966126,0.0429341593963277,0.04390029822720558,0.04123846421153598,0.0360992095284044,PJM,Base Case
Month 5,0.0412601696700823,0.039936296159557225,0.04379281687118243,0.0407353583670808,0.03982031922530113,0.040231508317710156,0.035095870345556814,0.0369131636580324,0.02730334057740265,0.04309335478019884,0.03784796669877474,0.037320642650650514,0.039388899010679566,0.04237750671446809,0.0363498793036577,0.040199952795326455,0.03927459420482443,0.03876139873367169,0.035804158162494375,0.042668214370181534,0.04422992780041664,0.045212860214994176,0.0412466733866167,0.04639029985878081,PJM,Base Case
Month 6,0.040899628663371664,0.03460694611351477,0.03515144012758747,0.04375510953009299,0.03863825674938227,0.042528903971121856,0.037192033263132536,0.03586563045346023,0.03485560707732941,0.0355618140640286,0.04029402966151786,0.03676286034488842,0.036090505474121695,0.043200329791082376,0.03800668968808931,0.040422455714579815,0.04214210034833812,0.04448349158747976,0.04447806971349421,0.03776384926292049,0.04137543405181889,0.03810136994114509,0.041713323161341895,0.03961846299400474,PJM,Base Case
Month 7,0.03923223757923664,0.041526401895048436,0.04032418153980306,0.03928427684032566,0.039063606356535496,0.04083369746407426,0.03699518301943472,0.04775448212441495,0.03804054570122547,0.039157465196389504,0.040029489579901684,0.03554909920290085,0.04272236144863757,0.040883621767753606,0.037545610011661915,0.04126774487534833,0.04416260118100546,0.03883503783654889,0.040696357274020996,0.03675726470653911,0.04104294809903907,0.037731233361818,0.03717549923984638,0.033103568825960224,PJM,Base Case
Month 8,0.04364687466988603,0.03583652840370786,0.03623960661479239,0.04212836099928328,0.040438944560710954,0.038625282504828065,0.037185379508050474,0.04060631292546228,0.0374320509488695,0.042152129267098444,0.03737142779866437,0.03844669671198678,0.03308912249930895,0.03771469114669978,0.037191160309997466,0.038909113560531165,0.04377507842802905,0.04408486637711834,0.04196719926079809,0.04267928984791849,0.04521537979177016,0.04275988485012527,0.04354912927086521,0.04374356164385966,PJM,Base Case
Month 9,0.03824190085335801,0.04004613476267767,0.03760743861059632,0.039062756242275294,0.041189928733297396,0.03431787619637914,0.04125211652918307,0.04017997082119176,0.043235232880682074,0.04283042940415464,0.0355801540882561,0.03875881850530365,0.036661111521907146,0.037633531300031796,0.039417438493132645,0.04148901042797964,0.03667960712302658,0.03546357817350379,0.03719534835324294,0.033703104977356714,0.043456731905084915,0.04226325505723658,0.04207780393683116,0.03650420805508468,PJM,Base Case
Month 10,0.041004206718076114,0.03637254381371417,0.03673744415558288,0.041301082761779934,0.042240776626668614,0.0400515160074028,0.03922717717118598,0.04340320936019118,0.04016032460944327,0.040155221358056895,0.03147053822848454,0.03629365670590973,0.04007297239662873,0.043535039565908075,0.04059761954614708,0.04294467646947504,0.03821256826950651,0.04433192481990242,0.04174275298006094,0.03890361163839114,0.037652397350297455,0.04375805725890673,0.03342358813107638,0.035486092703125374,PJM,Base Case
